InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
z1d.6xlarge,24,192.0,70%,>20%,Linux/UNIX,us-east-1
z1d.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-east-1
z1d.metal,48,384.0,0%,<5%,Linux/UNIX,us-east-1
a1.medium,1,2.0,81%,<5%,Linux/UNIX,us-east-2
a1.large,2,4.0,81%,<5%,Linux/UNIX,us-east-2
a1.xlarge,4,8.0,81%,<5%,Linux/UNIX,us-east-2
a1.2xlarge,8,16.0,81%,<5%,Linux/UNIX,us-east-2
a1.4xlarge,16,32.0,81%,<5%,Linux/UNIX,us-east-2
c4.large,2,3.75,82%,5-10%,Linux/UNIX,us-east-2
c4.xlarge,4,7.5,82%,5-10%,Linux/UNIX,us-east-2
c4.2xlarge,8,15.0,82%,<5%,Linux/UNIX,us-east-2
c4.4xlarge,16,30.0,82%,<5%,Linux/UNIX,us-east-2
c4.8xlarge,36,60.0,82%,<5%,Linux/UNIX,us-east-2
c5.large,2,4.0,78%,<5%,Linux/UNIX,us-east-2
c5.xlarge,4,8.0,78%,<5%,Linux/UNIX,us-east-2
c5.2xlarge,8,16.0,78%,5-10%,Linux/UNIX,us-east-2
c5.4xlarge,16,32.0,78%,<5%,Linux/UNIX,us-east-2
c5.9xlarge,36,72.0,77%,<5%,Linux/UNIX,us-east-2
c5.18xlarge,72,144.0,70%,15-20%,Linux/UNIX,us-east-2
c5d.large,2,4.0,80%,5-10%,Linux/UNIX,us-east-2
c5d.xlarge,4,8.0,80%,<5%,Linux/UNIX,us-east-2
c5d.2xlarge,8,16.0,80%,5-10%,Linux/UNIX,us-east-2
c5d.4xlarge,16,32.0,80%,10-15%,Linux/UNIX,us-east-2
c5d.9xlarge,36,72.0,80%,10-15%,Linux/UNIX,us-east-2
c5d.18xlarge,72,144.0,78%,<5%,Linux/UNIX,us-east-2
c5n.large,2,5.25,82%,<5%,Linux/UNIX,us-east-2
c5n.xlarge,4,10.5,82%,>20%,Linux/UNIX,us-east-2
c5n.2xlarge,8,21.0,0%,<5%,Linux/UNIX,us-east-2
c5n.4xlarge,16,42.0,82%,>20%,Linux/UNIX,us-east-2
c5n.9xlarge,36,96.0,0%,<5%,Linux/UNIX,us-east-2
c5n.18xlarge,72,192.0,82%,>20%,Linux/UNIX,us-east-2
d2.xlarge,4,30.5,70%,>20%,Linux/UNIX,us-east-2
d2.2xlarge,8,61.0,70%,>20%,Linux/UNIX,us-east-2
d2.4xlarge,16,122.0,70%,5-10%,Linux/UNIX,us-east-2
d2.8xlarge,36,244.0,70%,<5%,Linux/UNIX,us-east-2
g3.4xlarge,16,122.0,70%,>20%,Linux/UNIX,us-east-2
g3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-east-2
g3.16xlarge,64,488.0,0%,<5%,Linux/UNIX,us-east-2
g3s.xlarge,4,30.5,70%,>20%,Linux/UNIX,us-east-2
i2.xlarge,4,30.5,70%,10-15%,Linux/UNIX,us-east-2
i2.2xlarge,8,61.0,70%,>20%,Linux/UNIX,us-east-2
i2.4xlarge,16,122.0,70%,>20%,Linux/UNIX,us-east-2
i2.8xlarge,32,244.0,70%,15-20%,Linux/UNIX,us-east-2
i3.large,2,15.25,70%,<5%,Linux/UNIX,us-east-2
i3.xlarge,4,30.5,70%,<5%,Linux/UNIX,us-east-2
i3.2xlarge,8,61.0,70%,<5%,Linux/UNIX,us-east-2
i3.4xlarge,16,122.0,70%,<5%,Linux/UNIX,us-east-2
i3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-east-2
i3.16xlarge,64,488.0,70%,>20%,Linux/UNIX,us-east-2
m4.large,2,8.0,81%,<5%,Linux/UNIX,us-east-2
